BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Phi_U,Phi_V,Phi_B,SII,Baseline_Needed,Inverse_Diameter
ξ Aquilae,Libertas,0.023,83.333,6.67,4.91,5.76,12000.0,11.994,-77.778,19h 54m 14.9s,+08° 27′ 41″,1.09,0.28,1.12,7.144875336241906e-08,5.361508906826468e-07,2.0059289272644442e-07,False,485.1803066287552,3.571428571428571
ε Microscopii,,0.033,50.0,4.79,4.91,4.77,10000.0,12.845,-32.001,21h 17m 56.3s,-32° 10′ 21″,0.41,0.35,0.39,4.036404257867525e-07,5.361508906826468e-07,4.992470890576426e-07,False,388.1442453030041,2.857142857142857
,,-0.0,71.429,4.73,4.91,4.73,7350.0,15.244,-30.481,23h 33m 16.6s,-20° 54′ 52″,0.42,0.56,0.39,4.2657426939789724e-07,5.361508906826468e-07,5.179830414117323e-07,False,242.5901533143776,1.7857142857142856
κ Reticuli,,0.06,45.455,5.08,4.91,5.12,9000.0,17.09,12.741,03h 29m 22.7s,-62° 56′ 15″,0.88,0.4,0.69,3.090257403945527e-07,5.361508906826468e-07,3.616725442761199e-07,False,339.6262146401285,2.5
μ Muscae,,0.013,166.667,8.17,4.91,6.26,24000.0,23.501,58.549,11h 48m 14.3s,-66° 48′ 53″,1.01,0.16,1.48,1.7947115411933433e-08,5.361508906826468e-07,1.2656555891627681e-07,False,849.0655366003214,6.25
λ Cassiopeiae,,0.03,52.632,4.28,4.92,4.63,10000.0,14.75,-34.808,00h 31m 46.4s,+54° 31′ 20″,0.28,0.35,0.25,6.456462837406443e-07,5.312354297710749e-07,5.679571108798959e-07,False,388.1442453030041,2.857142857142857
,,,50.0,4.37,4.92,4.64,12000.0,15.016,-7.481,03h 30m 37.1s,-05° 04′ 31″,0.34,0.28,0.3,5.942848453731007e-07,5.312354297710749e-07,5.627500487888074e-07,False,485.1803066287552,3.571428571428571
,,,200.0,3.77,4.92,4.56,9000.0,19.927,52.439,05h 21m 45.7s,-00° 22′ 57″,0.18,0.4,0.15,1.0327486968025736e-06,5.312354297710749e-07,6.057808514896385e-07,False,339.6262146401285,2.5
,,,83.333,4.05,4.93,4.59,7750.0,4.181,-40.006,13h 53m 12.5s,-31° 55′ 40″,0.19,0.51,0.17,7.979848673022331e-07,5.263650340760178e-07,5.892716415037961e-07,False,266.3735016785322,1.9607843137254901
ζ¹ Scorpii,,,31.25,4.66,4.93,5.22,9500.0,6.083,-15.516,16h 53m 59.7s,-42° 21′ 44″,0.12,0.37,0.11,4.549824611564269e-07,5.263650340760178e-07,3.2984928067724947e-07,False,367.16347528662544,2.7027027027027026
μ Aquarii,,0.019,50.0,5.16,4.93,5.05,9000.0,7.065,-48.416,20h 52m 39.2s,-08° 59′ 00″,0.38,0.4,0.37,2.8707452547632225e-07,5.263650340760178e-07,3.8575853288038694e-07,False,339.6262146401285,2.5
κ Capricorni,,0.028,83.333,6.13,4.93,5.61,9500.0,8.83,-44.692,21h 42m 39.5s,-18° 51′ 59″,1.3,0.37,1.13,1.1748830968811899e-07,5.263650340760178e-07,2.3031145623040216e-07,False,367.16347528662544,2.7027027027027026
μ¹ Cygni,,0.049,29.412,5.22,4.93,5.21,7200.0,13.012,56.366,21h 44m 08.6s,+28° 44′ 34″,0.88,0.58,0.7,2.7164058408714663e-07,5.263650340760178e-07,3.3290133849383334e-07,False,234.22497561388178,1.7241379310344829
ψ Cassiopeiae,,0.013,15.625,6.73,4.93,5.79,6750.0,15.122,24.869,01h 25m 56.0s,+68° 07′ 48″,1.15,0.66,1.18,6.760746556477993e-08,5.263650340760178e-07,1.9512617950903918e-07,False,205.83406947886579,1.5151515151515151
,,,43.478,5.16,4.94,4.99,8750.0,0.724,47.025,10h 25m 54.9s,+33° 47′ 46″,0.63,0.42,0.58,2.8707452547632225e-07,5.215392904370913e-07,4.076763718765666e-07,False,323.45353775250345,2.380952380952381
,,0.032,200.0,8.31,4.94,6.36,9750.0,4.988,37.89,11h 01m 49.7s,-02° 29′ 05″,3.02,0.36,3.66,1.5775918559252046e-08,5.215392904370913e-07,1.1542916162078368e-07,False,377.362460711254,2.7777777777777777
,,0.016,23.256,4.91,4.94,4.82,7050.0,11.089,-26.706,23h 37m 51.0s,-45° 29′ 33″,0.41,0.6,0.39,3.614054152008953e-07,5.215392904370913e-07,4.767772686428327e-07,False,226.4174764267524,1.6666666666666667
,,0.028,47.619,4.87,4.94,4.81,9750.0,13.569,3.659,02h 39m 48.0s,-42° 53′ 30″,0.42,0.36,0.4,3.749683879014345e-07,5.215392904370913e-07,4.81188834393539e-07,False,377.362460711254,2.7777777777777777
τ² Eridani,Angetenar,0.031,500.0,6.29,4.94,5.66,12000.0,14.679,16.418,02h 51m 02.3s,-21° 00′ 15″,1.4,0.28,1.25,1.01389890874249e-07,5.215392904370913e-07,2.1994573317583476e-07,False,485.1803066287552,3.571428571428571
ν Hydri,,0.011,20.408,7.64,4.94,6.08,7200.0,14.767,-24.557,02h 50m 28.5s,-75° 04′ 01″,1.12,0.58,1.42,2.9241163937990342e-08,5.215392904370913e-07,1.4938794095167723e-07,False,234.22497561388178,1.7241379310344829
,,0.031,28.571,5.06,4.94,4.98,6750.0,15.403,-9.678,10h 33m 13.9s,+40° 25′ 32″,0.52,0.65,0.47,3.14770957852938e-07,5.215392904370913e-07,4.1144855490169436e-07,False,209.00074747084838,1.5384615384615383
ι Boötis,Asellus Secundus,0.048,50.0,5.01,4.94,4.95,9250.0,16.2,-9.936,14h 16m 09.9s,+51° 22′ 02″,0.62,0.38,0.55,3.2960565606513754e-07,5.215392904370913e-07,4.2297582027952736e-07,False,357.5012785685564,2.6315789473684212
ο Cephei,,0.024,25.0,6.08,4.94,5.59,10000.0,23.449,1.256,23h 18m 37.5s,+68° 06′ 42″,1.55,0.34,1.29,1.2302536313667538e-07,5.215392904370913e-07,2.3459326588648988e-07,False,399.5602525177983,2.941176470588235
,,0.005,38.462,6.64,4.95,5.78,9250.0,3.357,43.329,03h 05m 32.4s,+56° 42′ 21″,1.11,0.38,1.11,7.345048293738554e-08,5.167577894817755e-07,1.9693165981861397e-07,False,357.5012785685564,2.6315789473684212
χ Aurigae,,,333.333,4.64,4.95,5.1,20000.0,6.031,-9.402,05h 32m 43.7s,+32° 11′ 31″,0.15,0.18,0.14,4.634412166496061e-07,5.167577894817755e-07,3.683965388952762e-07,False,754.724921422508,5.555555555555555
ρ Ursae Majoris,,0.014,71.429,8.17,4.95,6.29,7500.0,12.44,27.268,09h 02m 32.7s,+67° 37′ 47″,7.4,0.53,7.5,1.7947115411933433e-08,5.167577894817755e-07,1.2311629606158805e-07,False,256.3216714265121,1.8867924528301885
ρ Serpentis,,0.015,45.455,8.18,4.95,6.3,7500.0,15.963,54.75,15h 51m 15.9s,+20° 58′ 40″,1.18,0.53,1.65,1.7782575268821058e-08,5.167577894817755e-07,1.219875590746977e-07,False,256.3216714265121,1.8867924528301885
υ Herculis,,,23.256,4.33,4.95,4.65,6750.0,16.292,75.755,16h 02m 47.9s,+46° 02′ 12″,0.35,0.65,0.3,6.165874141646083e-07,5.167577894817755e-07,5.575907253299121e-07,False,209.00074747084838,1.5384615384615383
,,0.01,43.478,4.67,4.95,4.72,9500.0,20.238,15.197,17h 59m 47.6s,-23° 48′ 58″,0.3,0.37,0.29,4.5081115687972287e-07,5.167577894817755e-07,5.227758794835668e-07,False,367.16347528662544,2.7027027027027026
ξ Scorpii,Graffias,0.048,23.256,5.25,4.97,5.24,10000.0,10.402,65.566,16h 04m 22.1s,-11° 22′ 23″,0.81,0.34,0.65,2.6423762403592484e-07,5.073258968632883e-07,3.238288528115118e-07,False,399.5602525177983,2.941176470588235
,,0.02,27.778,7.86,4.97,6.18,9500.0,20.242,36.806,20h 03m 33.5s,-37° 56′ 27″,1.37,0.36,1.75,2.387781898976946e-08,5.073258968632883e-07,1.362434214169894e-07,False,377.362460711254,2.7777777777777777
,,,45.455,3.69,4.98,4.67,7200.0,13.58,37.182,08h 13m 29.6s,-35° 53′ 59″,0.18,0.57,0.14,1.111718046529516e-06,5.02674705083518e-07,5.474135476396634e-07,False,238.33418571237095,1.7543859649122808
,,0.031,28.571,4.8,4.98,4.8,9750.0,18.398,58.801,16h 18m 17.9s,-28° 36′ 50″,0.39,0.35,0.37,3.999398281196348e-07,5.02674705083518e-07,4.856412198595565e-07,False,388.1442453030041,2.857142857142857
ζ Apodis,,0.014,33.333,7.26,4.98,5.99,8750.0,18.937,4.202,17h 21m 59.4s,-67° 46′ 14″,1.16,0.41,1.32,4.149489362914913e-08,5.02674705083518e-07,1.6229888690929447e-07,False,331.34264842939376,2.4390243902439024
,,,83.333,3.88,4.98,4.6,10000.0,23.316,-8.389,20h 15m 15.9s,+25° 35′ 31″,0.19,0.34,0.15,9.332428163530372e-07,5.02674705083518e-07,5.838691666213582e-07,False,399.5602525177983,2.941176470588235
,,0.022,83.333,5.21,4.99,5.05,9500.0,5.914,55.707,04h 59m 55.8s,-12° 32′ 15″,0.62,0.36,0.56,2.7415404346550983e-07,4.98066155686303e-07,3.8575853288038694e-07,False,377.362460711254,2.7777777777777777
,,0.019,55.556,8.37,4.99,6.5,9250.0,7.717,58.71,07h 16m 36.8s,-23° 18′ 56″,0.8,0.37,1.17,1.492776039544468e-08,4.98066155686303e-07,1.0146483216357998e-07,False,367.16347528662544,2.7027027027027026
,,0.023,28.571,6.36,4.99,5.72,8750.0,11.012,6.101,09h 19m 46.4s,-11° 58′ 30″,1.17,0.41,1.07,9.505930957005716e-08,4.98066155686303e-07,2.0812082621481956e-07,False,331.34264842939376,2.4390243902439024
ψ Virginis,,0.021,100.0,7.92,4.99,6.39,10000.0,16.024,29.851,12h 54m 21.2s,-09° 32′ 20″,8.3,0.34,7.16,2.2594079660485818e-08,4.98066155686303e-07,1.1228339650951981e-07,False,399.5602525177983,2.941176470588235
χ Pegasi,,0.015,19.231,8.3,5.0,6.37,7500.0,5.111,51.598,00h 14m 36.2s,+20° 12′ 24″,5.14,0.52,5.63,1.5921891336435905e-08,4.934998577239221e-07,1.1437090070606329e-07,False,261.25093433856046,1.923076923076923
,,0.022,41.667,6.4,5.0,5.73,9000.0,12.45,26.826,09h 20m 29.0s,-09° 33′ 21″,1.15,0.39,1.07,9.162092152927733e-08,4.934998577239221e-07,2.0621276301111872e-07,False,348.3345791180807,2.564102564102564
σ Virginis,,0.011,71.429,8.42,5.0,6.47,10000.0,16.466,68.768,13h 17m 36.3s,+05° 28′ 11″,3.69,0.33,4.28,1.42559005035541e-08,4.934998577239221e-07,1.0430750115082754e-07,False,411.66813895773157,3.0303030303030303
ψ Eridani,,,100.0,3.88,5.0,4.62,9250.0,19.816,19.142,05h 01m 26.3s,-07° 10′ 26″,0.19,0.37,0.15,9.332428163530372e-07,4.934998577239221e-07,5.73212353323312e-07,False,367.16347528662544,2.7027027027027026
,,0.017,62.5,6.37,5.0,5.75,7500.0,23.663,-13.778,09h 20m 56.8s,-62° 24′ 17″,1.01,0.52,0.94,9.41878005814639e-08,4.934998577239221e-07,2.0244895591063375e-07,False,261.25093433856046,1.923076923076923
,,,27.778,6.56,5.0,5.8,9750.0,23.96,-63.702,09h 35m 03.8s,+39° 37′ 17″,1.15,0.35,1.1,7.906688980640729e-08,4.934998577239221e-07,1.9333725194243598e-07,False,388.1442453030041,2.857142857142857
,,0.014,35.714,5.56,5.01,5.3,9500.0,4.648,-11.877,12h 22m 30.3s,+25° 50′ 46″,1.02,0.36,0.86,1.9860704768637693e-07,4.889754238328963e-07,3.0641889445270547e-07,False,377.362460711254,2.7777777777777777
φ Virginis,,0.047,13.514,5.72,5.01,5.51,6750.0,7.871,-33.295,14h 28m 12.1s,-02° 13′ 41″,1.06,0.63,0.86,1.7139362158867496e-07,4.889754238328963e-07,2.5253149007862097e-07,False,215.6356918350023,1.5873015873015872
,,0.04,333.333,4.75,5.01,4.81,14000.0,13.696,-53.44,17h 31m 25.0s,-23° 57′ 46″,0.28,0.23,0.28,4.187884115266391e-07,4.889754238328963e-07,4.81188834393539e-07,False,590.6542863306584,4.3478260869565215
,,0.004,111.111,4.65,5.01,5.23,10000.0,14.204,2.409,20h 17m 47.2s,+38° 01′ 59″,0.12,0.33,0.11,4.5919236203639824e-07,4.889754238328963e-07,3.2682520429492114e-07,False,411.66813895773157,3.0303030303030303
,,0.023,27.778,4.61,5.01,4.81,8250.0,19.024,46.935,22h 21m 19.3s,+28° 19′ 50″,0.3,0.44,0.28,4.7642512393935364e-07,4.889754238328963e-07,4.81188834393539e-07,False,308.7511042182987,2.272727272727273
,,0.006,50.0,5.08,5.01,4.94,8750.0,21.616,40.414,02h 08m 29.3s,+37° 51′ 33″,0.45,0.4,0.43,3.090257403945527e-07,4.889754238328963e-07,4.2688956735776734e-07,False,339.6262146401285,2.5
,,0.012,166.667,7.88,5.01,6.31,9500.0,21.796,-29.102,03h 18m 43.8s,+34° 13′ 22″,0.87,0.36,1.14,2.3441999677009736e-08,4.889754238328963e-07,1.208691704107037e-07,False,377.362460711254,2.7777777777777777
,,,142.857,3.83,5.02,4.76,7750.0,5.257,32.688,05h 57m 59.7s,+25° 57′ 14″,0.16,0.49,0.13,9.772251952666872e-07,4.844924702011164e-07,5.038665654968108e-07,False,277.24588950214576,2.0408163265306123
,,,50.0,4.04,5.02,4.68,8750.0,15.53,40.899,12h 26m 31.6s,-51° 27′ 03″,0.17,0.4,0.15,8.053685303703013e-07,4.844924702011164e-07,5.423948300684557e-07,False,339.6262146401285,2.5
,,0.03,76.923,5.14,5.02,5.05,26000.0,16.426,-22.553,13h 37m 27.6s,+36° 17′ 42″,0.5,0.15,0.46,2.9241163937990346e-07,4.844924702011164e-07,3.8575853288038694e-07,False,905.6699057070095,6.666666666666667
,,0.01,200.0,7.57,5.02,6.18,12000.0,18.747,2.06,14h 08m 50.9s,+77° 32′ 51″,1.15,0.27,1.36,3.118851203651875e-08,4.844924702011164e-07,1.362434214169894e-07,False,503.1499476150053,3.7037037037037033
π Lupi,,0.009,31.25,,5.02,,9250.0,19.966,-14.509,15h 05m 07.2s,-47° 03′ 04″,,0.37,,,4.844924702011164e-07,,False,367.16347528662544,2.7027027027027026
κ Coronae Borealis,,0.034,32.258,6.69,5.03,5.82,9250.0,1.134,43.942,15h 51m 13.9s,+35° 39′ 27″,1.32,0.37,1.28,7.014466664489725e-08,4.80050616535272e-07,1.898084494036234e-07,False,367.16347528662544,2.7027027027027026
,,0.009,100.0,3.89,5.03,4.65,8500.0,5.985,-8.442,17h 17m 19.5s,+33° 06′ 00″,0.17,0.42,0.14,9.24686794784281e-07,4.80050616535272e-07,5.575907253299121e-07,False,323.45353775250345,2.380952380952381
,,0.002,21.277,4.72,5.03,4.8,6750.0,18.232,64.397,20h 38m 31.3s,+21° 12′ 04″,0.4,0.63,0.37,4.3052131251587865e-07,4.80050616535272e-07,4.856412198595565e-07,False,215.6356918350023,1.5873015873015872
θ¹ Microscopii,,0.012,28.571,4.77,5.03,4.84,8750.0,19.421,-23.491,21h 20m 45.6s,-40° 48′ 35″,0.52,0.4,0.45,4.1114466157688215e-07,4.80050616535272e-07,4.680751027687884e-07,False,339.6262146401285,2.5
υ¹ Cassiopeiae,,0.006,30.303,7.3,5.03,6.04,6750.0,21.988,73.18,00h 55m 00.1s,+58° 58′ 22″,1.14,0.63,1.29,3.999398281196348e-08,4.80050616535272e-07,1.5499423371790787e-07,False,215.6356918350023,1.5873015873015872
γ¹ Arietis,Mesarthim,0.026,43.478,,5.04,,9750.0,1.768,-52.478,01h 53m 31.8s,+19° 17′ 45″,,0.34,,,4.756494860286142e-07,,False,399.5602525177983,2.941176470588235
,,0.021,24.39,6.23,5.04,5.71,6750.0,6.274,12.272,01h 57m 10.0s,-47° 23′ 06″,1.24,0.62,1.08,1.0715061193316869e-07,4.756494860286142e-07,2.1004654450997137e-07,False,219.1136868645991,1.6129032258064517
,,,32.258,8.05,5.04,6.31,7500.0,7.766,-13.436,02h 13m 13.3s,+44° 13′ 54″,0.92,0.51,1.28,2.004447360726462e-08,4.756494860286142e-07,1.208691704107037e-07,False,266.3735016785322,1.9607843137254901
θ Doradus,,-0.006,25.0,7.5,5.04,6.11,6750.0,13.201,-15.801,05h 13m 45.4s,-67° 11′ 07″,1.04,0.62,1.25,3.3265545965094006e-08,4.756494860286142e-07,1.4531670482650107e-07,False,219.1136868645991,1.6129032258064517
,,0.03,31.25,7.88,5.04,6.28,6600.0,17.824,76.963,08h 21m 23.0s,-33° 03′ 16″,0.87,0.65,1.16,2.3441999677009736e-08,4.756494860286142e-07,1.2425547712322964e-07,False,209.00074747084838,1.5384615384615383
,,0.042,16.667,5.1,5.04,5.02,6450.0,18.117,30.562,09h 16m 11.3s,+54° 01′ 19″,0.45,0.68,0.42,3.0338538497258044e-07,4.756494860286142e-07,3.965660589423953e-07,False,199.78012625889914,1.4705882352941175
,,0.024,90.909,7.03,5.04,5.95,12000.0,18.711,55.539,10h 22m 19.6s,-41° 39′ 00″,1.13,0.26,1.21,5.1285507281999687e-08,4.756494860286142e-07,1.6838970702402777e-07,False,522.5018686771209,3.846153846153846
ε Crateris,,,40.0,8.35,5.04,6.39,9000.0,20.835,44.059,11h 24m 36.6s,-10° 51′ 34″,1.09,0.38,1.59,1.520528818173524e-08,4.756494860286142e-07,1.1228339650951981e-07,False,357.5012785685564,2.6315789473684212
,,0.042,166.667,5.44,5.04,5.37,9750.0,21.831,30.174,14h 10m 23.9s,+25° 05′ 30″,0.99,0.34,0.78,2.218169123111166e-07,4.756494860286142e-07,2.8728671364308887e-07,False,399.5602525177983,2.941176470588235
ζ Boötis,,0.009,166.667,,5.04,,42000.0,22.192,59.414,14h 41m 08.9s,+13° 43′ 42″,,0.12,,,4.756494860286142e-07,,False,1132.087382133762,8.333333333333334
π Serpentis,,0.012,66.667,4.96,5.04,4.9,9750.0,23.799,67.807,16h 02m 17.7s,+22° 48′ 16″,0.42,0.34,0.4,3.451394920648541e-07,4.756494860286142e-07,4.429100565499393e-07,False,399.5602525177983,2.941176470588235
,,0.009,17.241,7.31,5.05,6.05,7350.0,4.701,-36.856,16h 40m 55.1s,+64° 35′ 21″,0.88,0.53,1.05,3.9627315773585575e-08,4.712887053289795e-07,1.535732380418796e-07,False,256.3216714265121,1.8867924528301885
,,,18.519,4.5,5.05,4.79,6600.0,5.376,79.231,17h 49m 10.5s,-31° 42′ 12″,0.25,0.65,0.23,5.272233734357967e-07,4.712887053289795e-07,4.901348027410565e-07,False,209.00074747084838,1.5384615384615383
ν¹ Sagittarii,,0.03,125.0,7.47,5.05,6.24,9000.0,7.309,49.465,18h 54m 10.2s,-22° 44′ 42″,1.05,0.38,1.18,3.419752341819203e-08,4.712887053289795e-07,1.2891858833637632e-07,False,357.5012785685564,2.6315789473684212
η Scuti,,0.039,125.0,6.93,5.05,5.91,9000.0,7.489,28.118,18h 57m 03.7s,-05° 50′ 46″,1.35,0.38,1.37,5.6233440512855546e-08,4.712887053289795e-07,1.7470910596869808e-07,False,357.5012785685564,2.6315789473684212
μ Piscium,,0.018,76.923,7.75,5.05,6.21,9750.0,9.875,-7.895,01h 30m 11.1s,+06° 08′ 38″,1.23,0.34,1.51,2.6423762403592488e-08,4.712887053289795e-07,1.3253040994125248e-07,False,399.5602525177983,2.941176470588235
,,0.009,50.0,3.92,5.05,4.69,10000.0,19.381,-53.576,03h 19m 59.4s,+65° 39′ 08″,0.17,0.33,0.14,8.994865124896287e-07,4.712887053289795e-07,5.374221243765084e-07,False,411.66813895773157,3.0303030303030303
,,0.017,90.909,4.8,5.06,5.25,9750.0,13.49,-50.835,20h 48m 56.3s,+46° 06′ 51″,0.12,0.34,0.11,3.999398281196348e-07,4.669679045071058e-07,3.20859972043623e-07,False,399.5602525177983,2.941176470588235
,,-0.012,47.619,7.94,5.06,6.27,9000.0,18.739,39.67,01h 56m 40.2s,-22° 31′ 37″,1.13,0.38,1.47,2.2181691231111663e-08,4.669679045071058e-07,1.2540519889745534e-07,False,357.5012785685564,2.6315789473684212
,,,25.0,4.3,5.06,4.82,7350.0,19.709,-15.876,04h 21m 33.2s,+46° 29′ 56″,0.17,0.53,0.15,6.33861910980876e-07,4.669679045071058e-07,4.767772686428327e-07,False,256.3216714265121,1.8867924528301885
,,-0.003,47.619,5.22,5.06,5.08,6750.0,19.681,45.525,07h 29m 51.4s,-23° 01′ 28″,0.42,0.62,0.4,2.7164058408714663e-07,4.669679045071058e-07,3.7524554190767114e-07,False,219.1136868645991,1.6129032258064517
ξ Coronae Borealis,,0.016,90.909,6.62,5.07,5.82,24000.0,3.805,11.143,16h 22m 05.8s,+30° 53′ 31″,1.21,0.15,1.16,7.481602936843662e-08,4.626867170252782e-07,1.898084494036234e-07,False,905.6699057070095,6.666666666666667
,,0.046,47.619,5.17,5.07,5.23,9000.0,4.653,15.8,16h 45m 17.8s,+56° 46′ 55″,0.7,0.38,0.56,2.8444261040687187e-07,4.626867170252782e-07,3.2682520429492114e-07,False,357.5012785685564,2.6315789473684212
κ Tucanae,,0.061,66.667,5.36,5.07,5.33,16000.0,15.656,36.636,01h 15m 46.1s,-68° 52′ 34″,0.83,0.2,0.66,2.387781898976946e-07,4.626867170252782e-07,2.980681288916758e-07,False,679.252429280257,5.0
ν Ceti,,0.002,20.833,6.26,5.07,5.73,6750.0,16.073,-10.627,02h 35m 52.5s,+05° 35′ 36″,1.22,0.62,1.07,1.0423046028399268e-07,4.626867170252782e-07,2.0621276301111872e-07,False,219.1136868645991,1.6129032258064517
,,,62.5,4.15,5.08,4.74,9250.0,10.724,23.188,12h 26m 30.9s,-63° 07′ 21″,0.18,0.36,0.15,7.277708486216254e-07,4.5844477970620455e-07,5.132341443434561e-07,False,377.362460711254,2.7777777777777777
,,,142.857,7.49,5.08,6.09,12000.0,11.476,-41.326,14h 19m 45.2s,+16° 18′ 25″,1.2,0.26,1.42,3.3573348272187834e-08,4.5844477970620455e-07,1.480183440766758e-07,False,522.5018686771209,3.846153846153846
ε Circini,,0.004,100.0,7.43,5.08,6.11,12000.0,16.604,52.924,15h 17m 38.9s,-63° 36′ 38″,1.07,0.26,1.25,3.548090229697602e-08,4.5844477970620455e-07,1.4531670482650107e-07,False,522.5018686771209,3.846153846153846
,,0.025,21.277,6.75,5.08,5.79,7350.0,21.888,-12.448,19h 46m 21.7s,-19° 45′ 40″,1.28,0.52,1.3,6.637349025101726e-08,4.5844477970620455e-07,1.9512617950903918e-07,False,261.25093433856046,1.923076923076923
,,0.029,333.333,6.49,5.08,5.79,24000.0,21.884,25.925,23h 58m 40.4s,-03° 33′ 22″,1.19,0.15,1.11,8.433243798525397e-08,4.5844477970620455e-07,1.9512617950903918e-07,False,905.6699057070095,6.666666666666667
δ Trianguli,,0.093,125.0,5.5,5.08,5.48,7050.0,22.596,73.643,02h 17m 03.2s,+34° 13′ 27″,1.05,0.56,0.79,2.098914054481956e-07,4.5844477970620455e-07,2.5960648759098653e-07,False,242.5901533143776,1.7857142857142856
,,0.011,20.408,5.03,5.09,4.95,10000.0,0.545,-62.969,06h 46m 14.1s,+59° 26′ 30″,0.41,0.32,0.39,3.235896748497019e-07,4.542417327022336e-07,4.2297582027952736e-07,False,424.5327683001607,3.125
,,0.007,40.0,7.95,5.09,6.37,9750.0,3.5,55.452,13h 17m 13.0s,-66° 47′ 01″,0.84,0.33,1.11,2.197832826353315e-08,4.542417327022336e-07,1.1437090070606329e-07,False,411.66813895773157,3.0303030303030303
ν² Draconis,Kuma,0.035,47.619,5.21,5.09,5.15,7750.0,8.46,-52.911,17h 32m 16.0s,+55° 10′ 23″,0.4,0.47,0.37,2.7415404346550983e-07,4.542417327022336e-07,3.5181596336094674e-07,False,289.04358692776907,2.127659574468085
,,,43.478,3.97,5.09,4.69,6750.0,11.389,-17.22,18h 44m 19.4s,-35° 38′ 31″,0.17,0.61,0.14,8.590029506538739e-07,4.542417327022336e-07,5.374221243765084e-07,False,222.70571451811713,1.639344262295082
τ Cassiopeiae,,0.014,62.5,7.03,5.09,5.98,14000.0,19.116,11.071,23h 47m 03.5s,+58° 39′ 07″,1.13,0.22,1.19,5.1285507281999687e-08,4.542417327022336e-07,1.6380062002023935e-07,False,617.5022084365974,4.545454545454546
,,,45.455,3.97,5.1,4.73,8250.0,4.856,18.84,05h 27m 38.1s,+21° 56′ 13″,0.17,0.42,0.14,8.590029506538739e-07,4.500772194648171e-07,5.179830414117323e-07,False,323.45353775250345,2.380952380952381
,,,38.462,4.58,5.1,4.78,9250.0,12.267,14.899,15h 58m 11.4s,-14° 16′ 46″,0.16,0.36,0.16,4.897727922465811e-07,4.500772194648171e-07,4.946699642330392e-07,False,377.362460711254,2.7777777777777777
,,-0.005,43.478,8.5,5.1,6.53,8750.0,14.403,5.82,17h 57m 47.7s,-41° 42′ 58″,2.76,0.39,3.38,1.3243252381080926e-08,4.500772194648171e-07,9.869963379811884e-08,False,348.3345791180807,2.564102564102564
ρ Pavonis,,0.003,66.667,5.5,5.1,5.31,8000.0,18.148,20.045,20h 37m 35.3s,-61° 31′ 48″,0.73,0.45,0.63,2.098914054481956e-07,4.500772194648171e-07,3.036096291424674e-07,False,301.8899685690032,2.2222222222222223
,,0.01,29.412,4.8,5.1,4.87,9250.0,23.043,42.758,07h 13m 13.4s,-45° 10′ 59″,0.39,0.36,0.35,3.999398281196348e-07,4.500772194648171e-07,4.553187567374561e-07,False,377.362460711254,2.7777777777777777
ζ Pyxidis,,0.021,333.333,,5.11,5.79,12000.0,2.955,31.934,08h 39m 42.5s,-29° 33′ 40″,,0.25,0.83,,4.459508867142523e-07,1.9512617950903918e-07,False,543.4019434242057,4.0
δ Pyxidis,,0.037,40.0,5.14,5.11,5.0,7500.0,3.06,-58.262,08h 55m 31.5s,-27° 40′ 55″,0.39,0.5,0.38,2.9241163937990346e-07,4.459508867142523e-07,4.039387724332844e-07,False,271.70097171210284,2.0
,,0.01,83.333,8.46,5.11,6.51,18000.0,5.832,-65.099,10h 37m 13.7s,-27° 24′ 45″,4.78,0.18,5.28,1.3740250663220962e-08,4.459508867142523e-07,1.0053459699085869e-07,False,754.724921422508,5.555555555555555
,,,100.0,4.17,5.11,4.75,20000.0,11.389,-63.045,16h 03m 24.2s,-38° 36′ 09″,0.21,0.16,0.18,7.144875336241906e-07,4.459508867142523e-07,5.085287854252046e-07,False,849.0655366003214,6.25
,,0.016,100.0,8.44,5.11,6.49,9250.0,15.854,-2.909,20h 36m 43.6s,-02° 33′ 00″,1.05,0.35,1.52,1.3995700995261713e-08,4.459508867142523e-07,1.024036746963798e-07,False,388.1442453030041,2.857142857142857
,,0.007,58.824,7.39,5.11,6.13,14000.0,19.513,27.965,01h 25m 37.2s,-14° 35′ 56″,1.09,0.22,1.24,3.681244435197537e-08,4.459508867142523e-07,1.4266437604985877e-07,False,617.5022084365974,4.545454545454546
,,0.006,19.608,4.98,5.11,4.93,7350.0,20.808,-42.011,06h 57m 37.1s,+45° 05′ 39″,0.39,0.51,0.37,3.388399863896307e-07,4.459508867142523e-07,4.308395278918516e-07,False,266.3735016785322,1.9607843137254901
ο Geminorum,,0.021,19.231,5.41,5.11,5.3,7500.0,23.058,-33.251,07h 39m 09.9s,+34° 35′ 03″,0.67,0.5,0.57,2.2803140105591708e-07,4.459508867142523e-07,3.0641889445270547e-07,False,271.70097171210284,2.0
,,0.021,35.714,6.44,5.12,5.8,9750.0,1.493,-20.371,12h 53m 17.8s,+21° 14′ 42″,1.13,0.33,1.03,8.830690334109142e-08,4.4186238440973914e-07,1.9333725194243598e-07,False,411.66813895773157,3.0303030303030303
